,岗位,招聘关键字
269,采购助理,"['供货', '一年', '跟进', '任务', 'erp', '到货', '货期', '责任心', '商品', '办公', '以上学历', '管理', '大专', '进行', '物料', '书面', '谈判', '供货商', '物流', '岗位职责', '送审', '上级领导', '资源库', '成本', 'word', '材料', '敏锐', '部门', '制作', '合同', '退换货', '下单', '流程', '交期', '汇总', '采购计划', '采购', '进出口', '供应商', '获得', '协调', '核价', '经理', '进度', '异常', '跟踪', '交货期', '所有', '建立', '男女', 'excel', '处理', '单据', '物资', '订单', '对账', '协助', '交办', '敏捷', '询价', '安排', '沟通', '年资', '购单', '及时', 'microsoft', '资质', '发货']"
270,行政专员,"['接待工作', '办公室', '考勤', '办公', '管理', '岗位职责', '行政', '收发', '职场', '日常', '定期', '来访', '被访', '办公用品', '劳动合同', '后勤保障', '公司', '各项', '人员']"
271,人力资源专员/助理,"['升职', '离职', '管理', '专员', '考核', '岗位职责', '月度', '实务', '操作技能', '薪酬', '关怀', '档案', '简历', '人事工作', '统筹', '劳动人事', '人事管理', '招聘广告', '社保', '及时', '公司', '续签', '执行', '人事档案', '实施', '公司员工', '人力资源', '总结', '行政', '完善', '方案', '办理', '根据', '渠道', '组织', '事宜', '雷厉风行', 'hr', '维护', '制定', '劳动合同', '资源管理', '人事', '协助', '表达能力', '各项', '试用期', '绩效考核', '底薪', '初试', '人事制度', '一金', '手续', '部门', '原则性', '相关', '主要', '员工', '应聘', '信息管理', '培训', '交办', '规章制度', '人员', '人力', '考勤', '以上学历', '大专', '招聘', '更新', '关系', '流程', '面试', '入职', '核算', '素养', '安排']"
272,行政文员,"['复印', '保密工作', '离职', '通告', '一家', 'offer', '科研院所', '各种', '传真', '政策', '有关', '操守', '信息管理', '接受', '内部人员', '品格', '装订', '科创', '规章制度', '公司']"
273,文案助理,"['营销策划', '单位', '需要', '资料', 'ms', '文件', 'word', '整理', 'ppt', '相关', '辅助', '配合', '经理', '文字', 'excel', '公众', 'office', '软文', '环保', '上传']"
274,出纳,"['转账', '日报表', '归档', '岗位职责', '支票', '网银', '票据', '会计', '出纳', '一天', '税法', '日记账', '使用', '保管', 'ppt3', '报销', '账务', '全面', '事务性', '及时', '公司', '每周', '到款', '库存现金', '印鉴', '完善', '办理', '简单', '收支', '财务制度', '帐务', '法规', '按规定', '财务软件', '销账', '接受', '余额', '对账', '内务', '证照', '财务', '宽广', '登记', '发票', '一金', '做到', '账实', '原始凭证', '开具', '履历', '日清月结', '会议记录', '从事', '费用', '市南区', '结算', '账款', '核对', '交办', '编制', '记账', '企业会计', '收据', '证书及', '办公室', '认真', '节假日', '法定', '以上学历', '付款', '大专', '谢谢', '收付', '资金', '凭证', '秘书', '明细', '银行', '处理', '现金', '税务', '核算', '用友', 'vip', '西青', '装订', '财务报表', '职业', '银行存款', '描述', '每日', '综合部']"
275,单证员,"['系统', '办公', '以上学历', '报关', '大专', '确认', '归档', '物流', '岗位职责', '出口', '货代', '文件', '报关单', '要求', '外贸', '订舱', '整理', '国际贸易', '制作', '录入', '清关', '相关', '进出口', '中专', '信用证', '商检', '提单', '退税', '单据', '海运', '订单', '操作', '单证']"
276,代账会计,"['财务', '有代账', '记帐', '代理', '岗位职责', '报税', '会计', '做账', '财务软件', '会计核算', '税务', '处理', '认真细致', 'office', '账务', '企业', '纳税', '代账', '申报', '记账']"
277,策划助理,"['定位', '综合体', '策划', '撰写', '中文', '同岗', '沟通', '思维能力', '本科', '性格', '协调', '热衷于', '市场调研', '专业', '房地产', '阶段性', '营销', '协助', '文字编辑', '承受']"
278,检测员,"['化工', '检验', '环境', '以上学历', '大专', '土木工程', '岗位职责', '检测', '人防', '操作规程', '基坑', '出具', '应届', '上岗证', '仪器设备', '保养', '报告', '岩土', '仪器', '质量体系']"
279,采样员,"['质量', '环境', '以上学历', '大专', '采集', '实验室', '交接', '岗位职责', '检测', '要求', '记录', '出差', '操作规程', '完成', '监测', '现场', '环境工程', '样品', '采样', '固废', '填写', '测试项目', '提前准备', '做好', '仪器', '环境监测']"
280,值班经理,"['餐前', '管理', '当班', '排班', '一金', '客诉', '突发事件', '订货', '日常', '前台', '店长', '处理', '班次', '酒店', '全面', '对客', '做好', '餐厅', '值班', '人员']"
281,售后服务工程师,"['gps', 'office', '电力系统', '专业本科', '月薪', '节假日', '公积金', '出差', '午餐', '适应', '以上学历', '吃苦', '维修', '万用表', '机电', '年终', '录用', '假日']"
282,收银员,"['小时', '细心', '日报表', '收款', '责任心', '发票', '备用金', '超市', '以上学历', '工龄', '当班', '服从', '一金', '收银台', '岗位职责', '形象', '食宿', '会员卡', '包间', '客人', '消费', '整理', '收银员', '宿舍', '前台', '主要', '一名', '一天', '营业', '收银', '中专', '按规定', '晚班', '适应', '结账', '四天', '意识', '经验', '工作', '帐单', '结算', '酒水', '服务', '准确', '安排', '夜班', '公司']"
283,金融实习生,"['发展', '节日', '任职', '融资', '节假日', '林和西', '提供', '岗位职责', '双休', '晋升', '旅游', '金融', '户外', '专业', '拓展', '富力', '团队', '培训', '聚餐', '公司']"
284,财务会计,"['财务收支', '财务', '会计报表', '内账', '进行', '往来账', '应付款', '会计工作', '岗位职责', '经历', '原始凭证', 'word', '审阅', '建筑工程', '催款', '农业', '团队精神', '监督', '审批', '明细帐', '合作社', '财务软件', '基础', 'excel', '税务', '保管', '往来款项', '专职', '监盘', '日记帐', '大学专科', '规划', '市政工程', '企业会计']"
285,软装设计师助理,"['cad', '设计方案', '软装', '饰品', '设计', '软件', '岗位职责', '方案', '主案', '完成', '艺术设计', 'ppt', 'photoshop', '搭配', '色彩', '协助', '配饰', '设计师', '室内设计', '摆场']"
286,审计助理,"['会计师', '办公', '以上学历', '归档', '岗位职责', '项目经理', '出差', '完成', '事务所', '会计', '审计', '底稿', '审计报告', '审计工作', '业务', '税务', '工作', '协助', '税务师', '编制']"
287,设计助理,"['样衣', 'ai', 'cad', '服装设计', '量房', '助理', '绘制', '设计', '软件', '岗位职责', '流行', '面料', '敏锐', '款式', '施工图', '收集', 'autocad', '完成', '制作', '主案', '服装', 'su', '面辅料', '配合', 'photoshop', '熟练', '订货会', '协助', '设计师', '图纸', '室内设计', '辅料', 'ps', '绘图', '草图']"
288,实习生,"['能力', '期间', '策划', '实习期', '课程', '家长', '管理', '资料', '最好', '自动化', '软件', '社工', '服务员', '毕业生', '岗位职责', '整理', '在读', '老师', '完成', '应届', '会计', '蔬菜', '面向', '房产', '积极主动', '工商', '简历', '机会', '经纪人', '有志', '酒店', '全面', '学习', '打包', '操作', '设计师', '学习成绩', '专业课程', '公司', '各个部门', '执行', '电力工程', '社会工作', '办公', '在职', '不甘', '客户', '看房', '对多肉', '完善', '南京', '日常', '主管', '本科', '农业', '大学生', '旅游', '教育', '媒体', '邀约', '电气工程', '金融', '维护', '领导', '提成', '团队', '协助', '全日制', '服务', '免费', '高校', '大四', '咨询', '底薪', '交流', '责任心', '校区', '岗位', '进行', '谈判', '调配', '销售', '提供', '物流', '同行业', '一金', '供用电', '沙龙', '学历', '一体化', '文案', '药学', '晋升', '部门', '福利待遇', '人际交往', '相关', '民宿', '主要', '在校', '签单', '运营', '氛围', '活动', '从事', '办公用品', '上下班', '专业', '房地产', '培训', '单据', '工作', '衔接', '实习', '房源', '交办', '学员', '半年', '协作关系', '任职', 'cad', '实习生', '助理', '以上学历', '内容', '大专', '亲和力', '奉献精神', '要求', '功底', '在校生', '住宿', '各个', '电力系统', '处理', '税务', 'office', '单证', '定岗', '室内设计', '沟通', '安排']"
289,行政前台,"['快递', '办公室', '登记', '考勤', '校区', '办公', '家长', '以上学历', '管理', '大专', '行政部', '良好形象', '气质佳', '一金', '灵活', '岗位职责', '亲和力', '文件', '会议纪要', '文秘', 'word', '日常', '接听', '前台', '1.6', '转接', '接待', '会议记录', '来访', '被访', '办公用品', '转达', '领用', 'excel', '接转', '办公自动化', '交办', '商务礼仪', '准确', '留言', '访客', '绿植', '及时', '公司']"
290,会计助理,"['财务', '财税', '发票', '会计专业', '以上学历', '财会', '岗位职责', '总结', '报税', '账实', '凭证', '办理', '报表', '录入', '票据', '会计', '外勤', '聘用', '帐务', '五天', '做账', '工商', '财务软件', '证明', '税务', '保管', '单据', '处理', '账务', '协助', '纳税', '申报', '记账']"
291,设计师助理室内,"['cad', '量房', '绘制', '设计', '软件', '方案', '施工图', '完成', '辅助', 'su', '配合', '熟练', '协助', '设计师', '制图', '室内设计', 'ps', '测量', '绘图', '草图']"
292,见习经理,"['小时', '每天', '见习', '麦当劳', '五险', '楼面', '以上学历', '管理', '大专', '一金', '顾客', '经理', '适应', '工作餐', '学习', '副经理', '餐厅', '值班', '储备']"
293,监理员,"['设计图', '以上学历', '大专', '进行', '岗位职责', '记录', '监理员', '现场', '工序', '检查', '工民建', '监理', '有关', '专业', '工程', '施工', '旁站', '工程师', '复核', '质量检查']"
294,实验室分析员,"['标准规范', '诚信', '环境', '以上学历', '噪声', '实验室', '专科', '化学分析', '检测', '分析', '实验', '分析仪器', '环境工程', '法规', '水质', '有机', '气相色谱仪', '操作', '仪器设备', '环境监测']"
295,证券实习生,"['期间', '提供', '岗位职责', '生日会', '国信', '客户经理', '渠道', '理财', '岗前', '证券', '开发', '金融', '分公司', '维护', '入职', '内部资料', '进取精神', '外拓', '公司']"
296,景观设计师助理,"['cad', '方案设计', '排版', '建模', '以上学历', 'lumion', '要求', '态度端正', 'su', '景观设计', '效果图', '共同完成', '参与', '精神', '大学专科', '职业道德', '设计师', '具有', '描图', '...']"
297,平面设计实习生,"['ai', '审美', 'illustrator', '实习生', '创意', '以上学历', '设计', '软件', '岗位职责', '美术', 'indesign', '制作', '手绘', '视觉', 'photoshop', '熟练', '海报', '平面设计', 'ps']"
298,实习设计师,"['cad', '量房', '3dmax', '设计', '软件', '岗位职责', '装饰', '完成', '毕业', 'su', '配合', '效果图', '专业', '基础', '学习', '谈单', '设计师', '室内设计', '沟通', '绘图']"
299,会计实习生,"['财务', '会计报表', '注册', '变更', '实习期', '实习生', '发票', '会计专业', '法定', '事项', '岗位职责', '报税', '会计凭证', '办理', '凭证', '会计', '外勤', '做账', '工商', '税务', '处理', '实习', '账务', '协助', '学习', '装订', '税局', '领购', '记账']"
300,项目实习生,"['excel', '社工', '责任感', '搜集整理', '分析', '会议纪要', 'word', '运用', '社会工作', '合作方', '公益', '信息处理', '全日制', '在读', '社团活动', '电脑', '承担', '文字']"
